State,Abreviatura
Alabama,AL
Alaska,AK
Arizona,AZ
Samoa Americana,AS
Arkansas,AR
California,CA
Zona del canal de Panamá,CZ
Colorado,CO
Connecticut,CT
Delaware,DE
Distrito de Columbia,DC
Micronesia,FM
Florida,FL
Georgia,GA
Guam,GU
Hawái,HI
Idaho,ID
Illinois,IL
Indiana,IN
Iowa,IA
Kansas,KS
Kentucky,KY
Luisiana,LA
Maine,ME
Maryland,MD
Massachusetts,MA
Míchigan,MI
Minnesota,MN
Misisipi,MS
Misuri,MO
Montana,MT
Nebraska,NE
Nevada,NV
Nuevo Hampshire,NH
Nueva Jersey,NJ
Nuevo México,NM
Nueva York,NY
Carolina del Norte,NC
Dakota del Norte,ND
Islas Marianas del Norte,MP
Ohio,OH
Oklahoma,OK
Oregón,OR
Palaos,PW
Pensilvania,PA
Puerto Rico,PR
Rhode Island,RI
Carolina del Sur,SC
Dakota del Sur,SD
Tennessee,TN
Texas,TX
Utah,UT
Vermont,VT
Islas Vírgenes,VI
Virginia,VA
Washington,WA
Virginia Occidental,WV
Wisconsin,WI
Wyoming,WY
